ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,q1_recent_q1_recent_1_1,q1_recent_q1_recent_1_2,q1_recent_q1_recent_1_3,q1_recent_q1_recent_2_1,q1_recent_q1_recent_2_2,q1_recent_q1_recent_2_3,q1_recent_q1_recent_3_1,q1_recent_q1_recent_3_2,q1_recent_q1_recent_3_3,q2_favorite,q3_volunteer_1,q3_volunteer_2,q3_volunteer_3,q3_volunteer_4,q4_rank_1,q4_rank_2,q4_rank_3,q6_reservations#1_1,q6_reservations#1_2,q6_reservations#1_3,q6_reservations#2_1,q6_reservations#2_2,q6_reservations#2_3,q5_position,Q8_1,Q8_2,Q8_3,Q9_1_1,Q9_2_1,Q9_3_1,Q10#1_1,Q10#1_2,Q10#1_3,Q10#2_1_-1,Q10#2_2_-1,Q10#2_3_-1,Q12#1_1_0,Q12#1_2_0,Q12#1_3_0,Q12#2_1_-1,Q12#2_2_-1,Q12#2_3_-1,Q13_1_-1,Q13_2_-1,Q13_3_-1,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Please indicate how recently you've eaten each of the following fruit-Canteloupe-In the last week,Please indicate how recently you've eaten each of the following fruit-Canteloupe-In the last month,Please indicate how recently you've eaten each of the following fruit-Canteloupe-In the last year,Please indicate how recently you've eaten each of the following fruit-Kiwi-In the last week,Please indicate how recently you've eaten each of the following fruit-Kiwi-In the last month,Please indicate how recently you've eaten each of the following fruit-Kiwi-In the last year,Please indicate how recently you've eaten each of the following fruit-Pomegranate-In the last week,Please indicate how recently you've eaten each of the following fruit-Pomegranate-In the last month,Please indicate how recently you've eaten each of the following fruit-Pomegranate-In the last year,Please select your favorite fruit from the following options,Please select the fruit you would voluntarily eat.-Cantaloupe,Please select the fruit you would voluntarily eat.-Kiwi,Please select the fruit you would voluntarily eat.-Pomegranate,Please select the fruit you would voluntarily eat.-None of the above,Please rank each food-Cantaloupe,Please rank each food-Kiwi,Please rank each food-Pomegranate,"Please indicate if you have reservations in eating each of the following fruit, and if so, why. -Do you have reservations in eating this fruit?-Cantaloupe","Please indicate if you have reservations in eating each of the following fruit, and if so, why. -Do you have reservations in eating this fruit?-Kiwi","Please indicate if you have reservations in eating each of the following fruit, and if so, why. -Do you have reservations in eating this fruit?-Pomegranate","Please indicate if you have reservations in eating each of the following fruit, and if so, why. -Why?-Cantaloupe","Please indicate if you have reservations in eating each of the following fruit, and if so, why. -Why?-Kiwi","Please indicate if you have reservations in eating each of the following fruit, and if so, why. -Why?-Pomegranate",Please briefly state your position on fruit.,This is a matrix single answer question with only one response column. QualtricsTools really shou...-Click to write Statement 1,This is a matrix single answer question with only one response column. QualtricsTools really shou...-Click to write Statement 2,This is a matrix single answer question with only one response column. QualtricsTools really shou...-Click to write Statement 3,This is a matrix multiple answer question with only one response column. QualtricsTools really sh...-Click to write Statement 1-Click to write Scale point 1,This is a matrix multiple answer question with only one response column. QualtricsTools really sh...-Click to write Statement 2-Click to write Scale point 1,This is a matrix multiple answer question with only one response column. QualtricsTools really sh...-Click to write Statement 3-Click to write Scale point 1,Click to write the question text-Click to write Column 1-Click to write Statement 1,Click to write the question text-Click to write Column 1-Click to write Statement 2,Click to write the question text-Click to write Column 1-Click to write Statement 3,Click to write the question text-Click to write Column 2-Click to write Statement 1-Answer 1,Click to write the question text-Click to write Column 2-Click to write Statement 2-Answer 1,Click to write the question text-Click to write Column 2-Click to write Statement 3-Answer 1,Click to write the question text-Click to write Column 1-Click to write Statement 1-Answer 1,Click to write the question text-Click to write Column 1-Click to write Statement 2-Answer 1,Click to write the question text-Click to write Column 1-Click to write Statement 3-Answer 1,Click to write the question text-Click to write Column 2-Click to write Statement 1-Answer 1,Click to write the question text-Click to write Column 2-Click to write Statement 2-Answer 1,Click to write the question text-Click to write Column 2-Click to write Statement 3-Answer 1,Click to write the question text-Click to write Statement 1-Click to write Scale point 1,Click to write the question text-Click to write Statement 2-Click to write Scale point 1,Click to write the question text-Click to write Statement 3-Click to write Scale point 1,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'QID4-1-1'},{'ImportId': 'QID4-1-2'},{'ImportId': 'QID4-1-3'},{'ImportId': 'QID4-2-1'},{'ImportId': 'QID4-2-2'},{'ImportId': 'QID4-2-3'},{'ImportId': 'QID4-3-1'},{'ImportId': 'QID4-3-2'},{'ImportId': 'QID4-3-3'},{'ImportId': 'QID1'},{'ImportId': 'QID5-1'},{'ImportId': 'QID5-2'},{'ImportId': 'QID5-3'},{'ImportId': 'QID5-4'},{'ImportId': 'QID2-1'},{'ImportId': 'QID2-2'},{'ImportId': 'QID2-3'},{'ImportId': 'QID6#1-1'},{'ImportId': 'QID6#1-2'},{'ImportId': 'QID6#1-3'},{'ImportId': 'QID6#2-1'},{'ImportId': 'QID6#2-2'},{'ImportId': 'QID6#2-3'},{'ImportId': 'QID3-TEXT'},{'ImportId': 'QID8-1'},{'ImportId': 'QID8-2'},{'ImportId': 'QID8-3'},{'ImportId': 'QID9-1-1'},{'ImportId': 'QID9-2-1'},{'ImportId': 'QID9-3-1'},{'ImportId': 'QID10#1-1'},{'ImportId': 'QID10#1-2'},{'ImportId': 'QID10#1-3'},{'ImportId': 'QID10#2-1-1'},{'ImportId': 'QID10#2-2-1'},{'ImportId': 'QID10#2-3-1'},{'ImportId': 'QID12#1-1-1'},{'ImportId': 'QID12#1-2-1'},{'ImportId': 'QID12#1-3-1'},{'ImportId': 'QID12#2-1-1'},{'ImportId': 'QID12#2-2-1'},{'ImportId': 'QID12#2-3-1'},{'ImportId': 'QID13-1-1'},{'ImportId': 'QID13-2-1'},{'ImportId': 'QID13-3-1'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_9RWrgh1F9m7488l,Default Response Set,,2016-07-20 12:49:25,2016-07-20 12:49:25,,,,,1,2,1,1,1,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.401901245117,-71.119300842285,-1
R_01HREuYKcsQtj5r,Default Response Set,,2016-07-20 12:49:25,2016-07-20 12:49:25,,,,,1,2,1,1,1,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.401901245117,-71.119300842285,-1
R_7U6eBR7waV8xr0N,Default Response Set,,2016-07-20 12:49:25,2016-07-20 12:49:25,,,,,1,2,1,,1,1,1,,1,,1,2,,,,1,2,2,1,1,3,2,1,3,3,"Augue ab et? Luctus dolorem, aliquam rhoncus elementum odio mattis. Tincidunt, sollicitudin bibendum.",1,1,1,1,1,1,2,1,1,-1,-1,-1,0,0,0,-1,-1,-1,,,,42.401901245117,-71.119300842285,-1
R_6FsLhwCAYml5NOJ,Default Response Set,,2016-07-20 12:49:25,2016-07-20 12:49:25,,,,,1,2,,1,1,,1,1,1,1,1,3,,,,1,2,3,-1,1,1,3,1,4,2,"Dignissim natoque consectetuer augue sapien, molestie scelerisque facilisi. Fermentum elementum atque. Dignissim.",1,1,1,1,1,1,1,1,2,-1,-1,-1,0,0,0,-1,-1,-1,,,,42.401901245117,-71.119300842285,-1
R_3OCWLC3rgTT1pgF,Default Response Set,,2016-07-20 12:49:25,2016-07-20 12:49:25,,,,,1,2,,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.401901245117,-71.119300842285,-1
R_bQ6PNClOxWzN2El,Default Response Set,,2016-07-20 12:51:06,2016-07-20 12:51:06,,,,,1,2,1,,,1,1,1,1,,,2,,,,1,2,2,3,3,3,3,1,1,1,Arcu? Ultricies massa ridiculus pede donec donec scelerisque interdum turpis porttitor vehicula maecenas? Felis pellentesque.,1,1,1,1,1,1,1,2,2,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,42.401901245117,-71.119300842285,-1
R_1KZoMuQosaLODnD,Default Response Set,,2016-07-20 12:51:06,2016-07-20 12:51:06,,,,,1,2,1,1,1,1,1,1,1,1,1,2,1,,1,,3,3,-1,1,2,1,1,4,3,"Mauris wisi laoreet suspendisse rhoncus, imperdiet eros ultrices malesuada! Atque fringilla.",1,1,1,1,1,1,1,1,2,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,42.401901245117,-71.119300842285,-1
R_9WxVeTZE0AYGM3b,Default Response Set,,2016-07-20 12:51:06,2016-07-20 12:51:06,,,,,1,2,1,1,,1,1,1,1,1,1,2,,,,1,1,2,2,1,1,1,4,2,1,"Pretium arcu culpa, nonummy, dui nulla cursus! Tempora? Fermentum, laoreet scelerisque sapien ullamcorper nonummy.",1,1,1,1,1,1,2,2,2,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,42.401901245117,-71.119300842285,-1
R_enxo3IGmYtlUhtX,Default Response Set,,2016-07-20 12:51:06,2016-07-20 12:51:07,,,,,1,2,,1,1,1,1,1,1,,,2,,,,1,-1,-1,-1,2,3,2,1,3,2,"Eros sodales magnis dapibus non, placerat tempora dapibus porta odio suspendisse vulputate.",1,1,1,1,1,1,2,2,1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,42.401901245117,-71.119300842285,-1
R_2rzdbdSqbgVTlHv,Default Response Set,,2016-07-20 12:51:07,2016-07-20 12:51:07,,,,,1,2,1,1,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.401901245117,-71.119300842285,-1
