ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,MCSA_single_text,MCSA_single_text_TEXT,MSCA_multi_text,MSCA_multi_text_TEXT,MCMA_text_1,MCMA_text_2,MCMA_text_3,MCMA_text_1_TEXT,MCMA_text_2_TEXT,Matrix_text_1,Matrix_text_1_TEXT,Matrix_text_2,Matrix_text_2_TEXT,Matrix_text_3,SBS_text#1_1,SBS_text#1_2,SBS_text#1_3,SBS_text#2_1,SBS_text#2_2,SBS_text#2_3,SBS_text#3_1_1_TEXT,SBS_text#3_1_2_TEXT,SBS_text#3_2_1_TEXT,SBS_text#3_2_2_TEXT,SBS_text#3_3_1_TEXT,SBS_text#3_3_2_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Click to write the question text,Click to write the question text,Click to write the question text,Click to write the question text,Click to write the question text-Click to write Choice 1,Click to write the question text-Click to write Choice 2,Click to write the question text-Click to write Choice 3,Click to write the question text-Click to write Choice 1,Click to write the question text-Click to write Choice 2,Click to write the question text-Click to write Statement 1,Click to write the question text-Click to write Statement 1,Click to write the question text-Click to write Statement 2,Click to write the question text-Click to write Statement 2,Click to write the question text-Click to write Statement 3,Click to write the question text-Click to write Column 1-Click to write Statement 1,Click to write the question text-Click to write Column 1-Click to write Statement 2,Click to write the question text-Click to write Column 1-Click to write Statement 3,Click to write the question text-Click to write Column 2-Click to write Statement 1,Click to write the question text-Click to write Column 2-Click to write Statement 2,Click to write the question text-Click to write Column 2-Click to write Statement 3,Click to write the question text-Click to write Column 3-Click to write Statement 1-Answer 1,Click to write the question text-Click to write Column 3-Click to write Statement 1-Answer 2,Click to write the question text-Click to write Column 3-Click to write Statement 2-Answer 1,Click to write the question text-Click to write Column 3-Click to write Statement 2-Answer 2,Click to write the question text-Click to write Column 3-Click to write Statement 3-Answer 1,Click to write the question text-Click to write Column 3-Click to write Statement 3-Answer 2,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'QID1'},{'ImportId': 'QID1-TEXT'},{'ImportId': 'QID2'},{'ImportId': 'QID2-TEXT'},{'ImportId': 'QID3-1'},{'ImportId': 'QID3-2'},{'ImportId': 'QID3-3'},{'ImportId': 'QID3-1-TEXT'},{'ImportId': 'QID3-2-TEXT'},{'ImportId': 'QID4-1'},{'ImportId': 'QID4-1-TEXT'},{'ImportId': 'QID4-2'},{'ImportId': 'QID4-2-TEXT'},{'ImportId': 'QID4-3'},{'ImportId': 'QID5#1-1'},{'ImportId': 'QID5#1-2'},{'ImportId': 'QID5#1-3'},{'ImportId': 'QID5#2-1'},{'ImportId': 'QID5#2-2'},{'ImportId': 'QID5#2-3'},{'ImportId': 'QID5#3-1-1-TEXT'},{'ImportId': 'QID5#3-1-2-TEXT'},{'ImportId': 'QID5#3-2-1-TEXT'},{'ImportId': 'QID5#3-2-2-TEXT'},{'ImportId': 'QID5#3-3-1-TEXT'},{'ImportId': 'QID5#3-3-2-TEXT'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_03bZW3oneV8tKqp,Default Response Set,,2017-07-18 10:31:15,2017-07-18 10:31:15,,,,,1,2,2,,3,,1,1,1,"Venenatis? Euismod molestie consequat suspendisse iaculis! Mauris. Commodo vivamus, scelerisque suspendisse, laoreet? Et? Amet accusamus.","Ac, tempor ultricies turpis tortor montes ultrices et magnis? Arcu tempus tempora iaculis.",2,Etiam mattis nec. Nec accumsan iaculis iaculis per magna vitae ante aenean nulla magna commodo.,3,Sodales ullamcorper. Vel per euismod. Dui diam quam sed pede laoreet magnis.,3,2,2,2,1,1,2,Ipsum montes fringilla aliquet magna. Rutrum ante! Facilisis facilisi curabitur.,"Cursus risus sodales, etiam tempus risus nunc, tempora nulla. Gravida.",Ligula lacus morbi ultrices auctor gravida porta felis sagittis duis.,Nunc phasellus? Elementum proin accumsan arcu eget scelerisque? In nonummy convallis facilisi duis.,"Porttitor pede et fusce mi? Culpa, duis ridiculus. Ut luctus.",Fusce facilisis morbi tempor magna enim nulla consequat arcu. Dui? Lectus.,42.401901245117,-71.119300842285,-1
R_bw2LT1FkHwa6YuN,Default Response Set,,2017-07-18 10:31:15,2017-07-18 10:31:15,,,,,1,2,1,,1,"Elementum posuere! Duis, etiam sollicitudin magna vestibulum curabitur magna praesent erat proin.",1,1,-99,Natoque ac vehicula accumsan etiam! Ligula convallis id eget nunc. Aliquet.,Sagittis cras. Tempus pede euismod etiam est turpis ridiculus tellus augue montes dui.,3,Mauris dolor. Venenatis dictumst. Magna neque ultrices id? Erat molestie.,3,"Facilisis pretium vitae? Blandit consequat quis elementum, enim vel sodales sodales blandit, id.",3,2,1,1,1,2,2,"Wisi sit praesent imperdiet consectetuer euismod sed, aliquet! Facilisi ultricies diam aenean.","Rhoncus. Consequat facilisis. Quis praesent, sollicitudin turpis, vel luctus, sapien luctus, bibendum, tempor? Viverra bibendum.",Vitae vehicula viverra magna imperdiet ab convallis id elit curabitur.,In facilisi blandit pede. Quam. Non? Nec cras. Potenti. Suspendisse primis.,"Ullamcorper posuere! Venenatis rhoncus! Id! Blandit vel luctus elementum? Interdum, neque erat culpa.",Augue malesuada neque ridiculus mattis potenti nulla ab massa convallis nec curabitur facilisi auctor.,42.401901245117,-71.119300842285,-1
R_4YqcC5Q8szbrdVr,Default Response Set,,2017-07-18 10:31:15,2017-07-18 10:31:15,,,,,1,2,2,,1,Ultrices et faucibus? Suspendisse magna etiam mattis scelerisque vivamus morbi.,1,-99,1,Pretium cursus et gravida curabitur lectus? Ultricies quam dui diam quam duis elit molestie ridiculus.,-99,3,Mauris morbi elementum eu luctus egestas imperdiet! Commodo bibendum ac et aenean.,3,Quis in a amet facilisi. Pede a. Egestas integer magnis donec arcu interdum primis duis.,1,1,2,2,2,2,2,Potenti a imperdiet? Praesent! Faucibus tincidunt imperdiet. Sapien mauris potenti. Vehicula quam.,Vestibulum augue nibh. Vitae. Platea tincidunt nulla justo tempora ridiculus vestibulum. Ante vitae.,"Curabitur mi? Dapibus sem phasellus metus dictumst facilisi convallis ridiculus diam felis, id.",Vulputate rutrum! Etiam phasellus vestibulum volutpat ipsum vel ullamcorper iaculis! Consectetuer.,Cursus iaculis dolor mattis. Eros aliquam nullam aliquam cras. Nec.,"Bibendum, fringilla lorem phasellus mattis temporibus magnis euismod pretium a cursus lectus curabitur.",42.401901245117,-71.119300842285,-1
R_3WwoGVPzMHHaUKh,Default Response Set,,2017-07-18 10:31:15,2017-07-18 10:31:15,,,,,1,2,1,,2,"Lectus dictumst tellus consequat convallis sapien, erat ridiculus facilisis velit, morbi primis bibendum aenean.",1,-99,1,Pretium neque erat molestie ultrices accusamus porta vitae egestas odio tellus.,-99,2,"Atque dolor augue quis, leo consectetuer tortor tempus laoreet euismod. Scelerisque, ac commodo suscipit.",1,Porttitor a facilisi dui tempus at a metus eget ipsum at fermentum. Gravida. Vitae.,3,1,1,1,2,2,1,Ante dolor. Metus felis eleifend. Eget. Ridiculus elit etiam scelerisque curabitur arcu augue magnis. Consequat.,Lorem sem nulla atque tellus nunc at blandit scelerisque non atque.,"Scelerisque pede. Pretium egestas vestibulum sapien atque tortor interdum etiam est iaculis, etiam.",Etiam dictumst! Sit. Mauris felis pharetra eros ultricies facilisis elementum turpis sodales tortor.,"Elit, natoque proin neque sollicitudin aliquam ab curabitur sollicitudin quis vehicula urna duis erat eu.",Curabitur potenti amet fermentum venenatis. Vulputate eu tellus. Leo accumsan.,42.401901245117,-71.119300842285,-1
R_2ov78WrayfPSfSB,Default Response Set,,2017-07-18 10:31:16,2017-07-18 10:31:16,,,,,1,2,3,Gravida. Porta mattis! Dui id tempor purus. Interdum tempora nonummy posuere egestas.,2,Porta! Commodo wisi dui vivamus duis? Nunc lorem magna elementum.,1,1,1,"Rutrum maecenas facilisi, augue eget a. Magnis? Fringilla dui diam.","Aliquet. Pellentesque sodales, tortor proin ullamcorper sagittis magna. Temporibus mi tempus vehicula ridiculus aliquet non.",2,Rhoncus elementum accusamus tempora? At egestas porttitor magnis vehicula laoreet suspendisse vulputate.,3,"Erat quis, egestas lorem blandit iaculis porttitor. Felis lectus! Ut tortor tincidunt eget.",2,1,2,1,2,2,1,"Sit ante, culpa quam aliquet bibendum nonummy. Nunc, temporibus nibh magna? Tortor metus? Facilisis.",Ridiculus in accusamus! At ab vel! Montes. Interdum vitae egestas ut! Lectus nibh consequat dolorem.,Eleifend pharetra. Vulputate! Ut ridiculus laoreet! Dignissim. Justo. Montes lorem montes urna lacus.,"Commodo atque vivamus, ullamcorper? Phasellus atque fermentum ultrices potenti luctus vestibulum accumsan.",Culpa iaculis id eleifend rhoncus montes. Montes rutrum! Nec dapibus sit ligula.,Bibendum donec! Gravida. Venenatis rutrum! Mauris lectus metus malesuada wisi tempor.,42.401901245117,-71.119300842285,-1
R_e9Z36QuvaU5X1Wd,Default Response Set,,2017-07-18 10:31:16,2017-07-18 10:31:16,,,,,1,2,1,,2,"Rutrum mi? Pharetra. Pretium viverra. Cursus? Nibh faucibus, suscipit luctus duis sapien.",-99,1,1,-99,A etiam quam consectetuer neque. Vel. At et temporibus ante elementum faucibus blandit.,2,"Morbi auctor augue ab tempus. Laoreet euismod interdum leo tempor, pede mauris consequat.",2,"Nulla integer. Magnis egestas praesent? Suspendisse diam, natoque culpa. Wisi? Pede et morbi. Scelerisque eget.",1,2,2,1,2,2,2,Ac culpa per pellentesque malesuada nonummy. Blandit gravida eget blandit vitae gravida montes eu? Duis.,"Pellentesque volutpat nonummy rhoncus, felis! Ligula cursus per ullamcorper porta.",Tempus! Faucibus urna? Ab auctor velit odio risus. Vehicula magna ac.,Viverra curabitur interdum fermentum etiam atque primis duis turpis facilisis suscipit.,Faucibus aliquet purus nonummy sem maecenas aliquam justo luctus arcu.,"Vel fermentum. Eget magnis donec convallis, in augue neque natoque! Nulla eros id.",42.401901245117,-71.119300842285,-1
R_9AFX4bgCj6D148J,Default Response Set,,2017-07-18 10:31:16,2017-07-18 10:31:16,,,,,1,2,3,"Auctor metus magnis porta luctus nec nonummy tempor, integer, vulputate? Viverra.",2,"Potenti, orci potenti tempora diam montes felis? Ullamcorper donec primis commodo, montes.",1,1,1,Culpa nullam arcu at sit tempora turpis vulputate felis primis rutrum. Vehicula iaculis egestas sollicitudin.,Placerat at! Bibendum natoque enim sollicitudin ligula. Eu accumsan in.,1,Ligula proin tempor aliquet eleifend facilisi? Bibendum. Leo! Amet aenean.,1,"Risus magnis, sed? Eleifend faucibus pellentesque enim. Aliquet convallis metus.",3,2,2,1,1,2,1,Tempora euismod accumsan? Convallis volutpat bibendum justo. Platea interdum montes. Per.,Dolorem. Vehicula neque montes magna accusamus praesent dignissim aliquet rhoncus? Ipsum.,Convallis nunc ligula magnis etiam nonummy gravida ipsum tempor eros.,Porta elit. Urna laoreet cursus sapien blandit! Fringilla nonummy iaculis.,Mi morbi volutpat ultricies lorem magna nonummy per dictumst massa arcu.,Scelerisque! Cras magna bibendum facilisis dolor suscipit dapibus. Ridiculus sapien facilisi porta pretium. Sagittis! Vel.,42.401901245117,-71.119300842285,-1
R_86W0ncB4LOWDKwR,Default Response Set,,2017-07-18 10:31:16,2017-07-18 10:31:16,,,,,1,2,2,,2,"Rutrum. Nunc mauris vestibulum metus, auctor sapien dui urna pellentesque? Sagittis? Sodales etiam consectetuer, iaculis.",1,1,-99,Cras eget imperdiet sapien nibh dignissim elementum ridiculus. Ultricies vulputate.,"Tempora bibendum neque suscipit? Pede consequat elementum? Tortor, placerat augue lectus sem lorem vel.",1,"Nonummy non enim, nec, pretium sodales est leo elementum tincidunt.",2,Blandit primis? Orci pellentesque dolorem. Dignissim malesuada ut donec maecenas. Risus quam vestibulum facilisi pretium.,1,2,1,1,2,2,2,Pede eros lorem ac ab tempora temporibus et pretium ultricies donec lectus blandit.,Montes eu ante atque diam elementum. Elit arcu ipsum ut erat risus.,Aliquet ligula montes montes culpa accusamus! Iaculis ipsum leo tincidunt.,Potenti justo lacus molestie accusamus facilisis wisi a temporibus vulputate.,"A, iaculis vehicula sagittis tempus elementum dolorem sem aliquam, nonummy vivamus primis lacus.",Venenatis dui magna faucibus placerat non dignissim luctus neque gravida. Laoreet orci mi.,42.401901245117,-71.119300842285,-1
